UID          PID    PPID  C    SZ   RSS PSR STIME TTY          TIME CMD
root           1       0  3  6563 16740  10 09:49 ?        00:00:02 /usr/lib/systemd/systemd --switched-root --system --deserialize=53 splash
root           2       0  0     0     0   6 09:49 ?        00:00:00 [kthreadd]
root           3       2  0     0     0   0 09:49 ?        00:00:00 [pool_workqueue_release]
root           4       2  0     0     0   0 09:49 ?        00:00:00 [kworker/R-rcu_gp]
root           5       2  0     0     0   0 09:49 ?        00:00:00 [kworker/R-sync_wq]
root           6       2  0     0     0   0 09:49 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root           7       2  0     0     0   0 09:49 ?        00:00:00 [kworker/R-slub_flushwq]
root           8       2  0     0     0   0 09:49 ?        00:00:00 [kworker/R-netns]
root           9       2  0     0     0   0 09:49 ?        00:00:00 [kworker/0:0-rcu_gp]
root          10       2  0     0     0   0 09:49 ?        00:00:00 [kworker/0:0H-kblockd]
root          11       2  0     0     0   0 09:49 ?        00:00:00 [kworker/0:1-events_freezable]
root          12       2  0     0     0   1 09:49 ?        00:00:00 [kworker/u48:0-gfx_0.1.0]
root          13       2  0     0     0   0 09:49 ?        00:00:00 [kworker/R-mm_percpu_wq]
root          14       2  0     0     0   0 09:49 ?        00:00:00 [ksoftirqd/0]
root          15       2  0     0     0   4 09:49 ?        00:00:00 [rcu_preempt]
root          16       2  0     0     0   0 09:49 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/0]
root          17       2  0     0     0   0 09:49 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root          18       2  0     0     0   0 09:49 ?        00:00:00 [migration/0]
root          19       2  0     0     0   0 09:49 ?        00:00:00 [kprobe-optimizer]
root          20       2  0     0     0   0 09:49 ?        00:00:00 [idle_inject/0]
root          21       2  0     0     0   0 09:49 ?        00:00:00 [cpuhp/0]
root          22       2  0     0     0   1 09:49 ?        00:00:00 [cpuhp/1]
root          23       2  0     0     0   1 09:49 ?        00:00:00 [idle_inject/1]
root          24       2  0     0     0   1 09:49 ?        00:00:00 [migration/1]
root          25       2  0     0     0   1 09:49 ?        00:00:00 [ksoftirqd/1]
root          26       2  0     0     0   1 09:49 ?        00:00:00 [kworker/1:0-events]
root          27       2  0     0     0   1 09:49 ?        00:00:00 [kworker/1:0H-kblockd]
root          28       2  0     0     0   2 09:49 ?        00:00:00 [cpuhp/2]
root          29       2  0     0     0   2 09:49 ?        00:00:00 [idle_inject/2]
root          30       2  0     0     0   2 09:49 ?        00:00:00 [migration/2]
root          31       2  0     0     0   2 09:49 ?        00:00:00 [ksoftirqd/2]
root          32       2  0     0     0   2 09:49 ?        00:00:00 [kworker/2:0-events]
root          33       2  0     0     0   2 09:49 ?        00:00:00 [kworker/2:0H-kblockd]
root          34       2  0     0     0   3 09:49 ?        00:00:00 [cpuhp/3]
root          35       2  0     0     0   3 09:49 ?        00:00:00 [idle_inject/3]
root          36       2  0     0     0   3 09:49 ?        00:00:00 [migration/3]
root          37       2  0     0     0   3 09:49 ?        00:00:00 [ksoftirqd/3]
root          38       2  0     0     0   3 09:49 ?        00:00:00 [kworker/3:0-cgroup_free]
root          39       2  0     0     0   3 09:49 ?        00:00:00 [kworker/3:0H-kblockd]
root          40       2  0     0     0   4 09:49 ?        00:00:00 [cpuhp/4]
root          41       2  0     0     0   4 09:49 ?        00:00:00 [idle_inject/4]
root          42       2  0     0     0   4 09:49 ?        00:00:00 [migration/4]
root          43       2  0     0     0   4 09:49 ?        00:00:00 [ksoftirqd/4]
root          44       2  0     0     0   4 09:49 ?        00:00:00 [kworker/4:0-inode_switch_wbs]
root          45       2  0     0     0   4 09:49 ?        00:00:00 [kworker/4:0H-kblockd]
