round,startup_ms,kill_delay_ms,acknowledged_total,attempted_total,recovered_before_round_documents,lost_acknowledged,partial_commits
0,112.38863199949265,31,101,102,0,0,0
1,121.00367100164294,30,202,204,202,0,0
2,121.1713100001216,21,302,305,404,0,0
3,120.68692000210285,38,403,407,606,0,0
4,114.74657100066543,29,503,508,810,0,0
5,123.65030999854207,6,603,609,1012,0,0
6,124.35875000059605,27,703,710,1214,0,0
7,125.77591999992728,48,804,812,1416,0,0
8,120.81345999985933,37,905,914,1618,0,0
9,123.38434999808669,48,1006,1016,1820,0,0
10,121.9929200001061,1,1106,1117,2022,0,0
11,124.50168000161648,38,1209,1221,2222,0,0
12,123.83103000000119,13,1310,1323,2430,0,0
13,126.76662899926305,12,1411,1425,2634,0,0
14,130.5923780016601,31,1513,1528,2836,0,0
15,122.59541000053287,30,1616,1632,3042,0,0
16,123.36501000076532,37,1719,1736,3248,0,0
17,123.94506999850273,34,1823,1841,3456,0,0
18,126.81781900301576,45,1927,1946,3664,0,0
19,119.55239100009203,42,2031,2051,3874,0,0
20,124.80102000012994,43,2135,2156,4082,0,0
21,124.00469000265002,4,2235,2257,4290,0,0
22,123.4510000012815,43,2339,2362,4492,0,0
23,118.92339099943638,2,2439,2463,4700,0,0
24,126.953099001199,43,2543,2568,4900,0,0
25,125.08513000234962,44,2647,2673,5108,0,0
26,124.11606999859214,27,2750,2777,5316,0,0
27,119.56937099993229,14,2851,2879,5522,0,0
28,124.27611900120974,41,2955,2984,5726,0,0
29,128.34987900033593,20,3057,3087,5934,0,0
30,127.72762899845839,23,3159,3190,6138,0,0
31,131.22201900184155,38,3263,3295,6342,0,0
32,123.97567899897695,21,3365,3398,6550,0,0
33,122.70493000000715,50,3469,3503,6754,0,0
34,124.87948999926448,45,3573,3608,6964,0,0
35,127.41111900284886,42,3677,3713,7174,0,0
36,121.57281000167131,43,3781,3818,7382,0,0
37,123.28515000268817,40,3885,3923,7590,0,0
38,124.92018999904394,13,3986,4025,7798,0,0
39,123.19690899923444,36,4089,4129,8000,0,0
40,123.98264899849892,3,4189,4230,8208,0,0
41,123.21732899919152,44,4293,4335,8410,0,0
42,125.52443899959326,33,4396,4439,8620,0,0
43,123.45261999964714,46,4500,4544,8826,0,0
44,119.71375999972224,41,4604,4649,9034,0,0
45,123.09195999801159,24,4706,4752,9242,0,0
46,124.94472000002861,1,4806,4853,9448,0,0
47,121.04118000343442,12,4907,4955,9648,0,0
48,123.25418899953365,31,5010,5059,9852,0,0
49,126.04128900170326,26,5113,5163,10058,0,0
50,125.93611900135875,25,5215,5266,10264,0,0
51,120.85079000145197,2,5315,5367,10470,0,0
52,121.6285399980843,33,5418,5471,10672,0,0
53,122.07988000288606,28,5521,5575,10878,0,0
54,126.13335900008678,47,5625,5680,11084,0,0
55,121.79326000064611,6,5726,5782,11294,0,0
56,124.63350899890065,37,5829,5886,11496,0,0
57,121.67032999917865,24,5931,5989,11704,0,0
58,127.64963899925351,39,6034,6093,11908,0,0
59,124.79862999916077,20,6136,6196,12116,0,0
60,122.44074000045657,41,6240,6301,12320,0,0
61,124.91936999931931,42,6344,6406,12528,0,0
62,120.74934000149369,15,6445,6508,12736,0,0
63,126.69739899784327,38,6548,6612,12940,0,0
64,125.7999190017581,1,6648,6713,13148,0,0
65,124.34697999805212,2,6748,6814,13348,0,0
66,123.22186999768019,3,6848,6915,13550,0,0
67,121.68338000029325,42,6952,7020,13752,0,0
68,125.60978899896145,5,7052,7121,13962,0,0
69,125.52055900171399,38,7155,7225,14164,0,0
70,126.63871899992228,21,7257,7328,14372,0,0
71,123.4880790002644,14,7358,7430,14576,0,0
72,126.15380999818444,37,7461,7534,14780,0,0
73,122.33907999843359,26,7563,7637,14988,0,0
74,124.41822899878025,35,7666,7741,15194,0,0
75,125.23756999894977,50,7771,7847,15400,0,0
76,126.11769999936223,7,7871,7948,15610,0,0
77,123.34144899994135,8,7972,8050,15812,0,0
78,123.16970999911427,1,8072,8151,16014,0,0
79,122.59884000197053,44,8176,8256,16214,0,0
80,127.66791899874806,23,8278,8359,16422,0,0
81,125.46909900009632,8,8378,8460,16626,0,0
82,125.25017900019884,49,8483,8566,16828,0,0
83,127.74674900248647,4,8583,8667,17038,0,0
84,124.5223990008235,7,8683,8768,17240,0,0
85,126.02958900108933,28,8786,8872,17442,0,0
86,121.55367999896407,47,8890,8977,17648,0,0
87,126.99835900217295,30,8994,9082,17858,0,0
88,124.41301899775863,39,9098,9187,18066,0,0
89,121.97043999657035,18,9200,9290,18274,0,0
90,124.91127000004053,1,9300,9391,18478,0,0
91,125.2367599979043,16,9401,9493,18678,0,0
92,130.02569799870253,3,9501,9594,18882,0,0
93,125.12806900218129,24,9603,9697,19084,0,0
94,127.76171899959445,39,9707,9802,19288,0,0
95,129.73481899872422,38,9810,9906,19496,0,0
96,120.6767599992454,19,9911,10008,19704,0,0
97,124.58932000026107,44,10015,10113,19908,0,0
98,122.01542000100017,41,10119,10218,20116,0,0
99,124.54697899892926,14,10220,10320,20324,0,0
