    PID    PPID USER     STAT   RSS COMMAND         COMMAND
      1       0 root     Ss   16788 systemd         /usr/lib/systemd/systemd --switched-root --system --deserialize=53 splash
      2       0 root     S        0 kthreadd        [kthreadd]
      3       2 root     S        0 pool_workqueue_ [pool_workqueue_release]
      4       2 root     I<       0 kworker/R-rcu_g [kworker/R-rcu_gp]
      5       2 root     I<       0 kworker/R-sync_ [kworker/R-sync_wq]
      6       2 root     I<       0 kworker/R-kvfre [kworker/R-kvfree_rcu_reclaim]
      7       2 root     I<       0 kworker/R-slub_ [kworker/R-slub_flushwq]
      8       2 root     I<       0 kworker/R-netns [kworker/R-netns]
     10       2 root     I<       0 kworker/0:0H-kb [kworker/0:0H-kblockd]
     11       2 root     I        0 kworker/0:1-cgr [kworker/0:1-cgroup_free]
     13       2 root     I<       0 kworker/R-mm_pe [kworker/R-mm_percpu_wq]
     14       2 root     S        0 ksoftirqd/0     [ksoftirqd/0]
     15       2 root     I        0 rcu_preempt     [rcu_preempt]
     16       2 root     S        0 rcu_exp_par_gp_ [rcu_exp_par_gp_kthread_worker/0]
     17       2 root     S        0 rcu_exp_gp_kthr [rcu_exp_gp_kthread_worker]
     18       2 root     S        0 migration/0     [migration/0]
     19       2 root     S        0 kprobe-optimize [kprobe-optimizer]
     20       2 root     S        0 idle_inject/0   [idle_inject/0]
     21       2 root     S        0 cpuhp/0         [cpuhp/0]
     22       2 root     S        0 cpuhp/1         [cpuhp/1]
     23       2 root     S        0 idle_inject/1   [idle_inject/1]
     24       2 root     S        0 migration/1     [migration/1]
     25       2 root     S        0 ksoftirqd/1     [ksoftirqd/1]
     27       2 root     I<       0 kworker/1:0H-kb [kworker/1:0H-kblockd]
     28       2 root     S        0 cpuhp/2         [cpuhp/2]
     29       2 root     S        0 idle_inject/2   [idle_inject/2]
     30       2 root     S        0 migration/2     [migration/2]
     31       2 root     S        0 ksoftirqd/2     [ksoftirqd/2]
     33       2 root     I<       0 kworker/2:0H-kb [kworker/2:0H-kblockd]
     34       2 root     S        0 cpuhp/3         [cpuhp/3]
     35       2 root     S        0 idle_inject/3   [idle_inject/3]
     36       2 root     S        0 migration/3     [migration/3]
     37       2 root     S        0 ksoftirqd/3     [ksoftirqd/3]
     39       2 root     I<       0 kworker/3:0H-kb [kworker/3:0H-kblockd]
     40       2 root     S        0 cpuhp/4         [cpuhp/4]
     41       2 root     S        0 idle_inject/4   [idle_inject/4]
     42       2 root     S        0 migration/4     [migration/4]
     43       2 root     S        0 ksoftirqd/4     [ksoftirqd/4]
     45       2 root     I<       0 kworker/4:0H-kb [kworker/4:0H-kblockd]
     46       2 root     S        0 cpuhp/5         [cpuhp/5]
     47       2 root     S        0 idle_inject/5   [idle_inject/5]
     48       2 root     S        0 migration/5     [migration/5]
     49       2 root     S        0 ksoftirqd/5     [ksoftirqd/5]
     50       2 root     I        0 kworker/5:0-mm_ [kworker/5:0-mm_percpu_wq]
     51       2 root     I<       0 kworker/5:0H-kb [kworker/5:0H-kblockd]
     52       2 root     S        0 cpuhp/6         [cpuhp/6]
     53       2 root     S        0 idle_inject/6   [idle_inject/6]
     54       2 root     S        0 migration/6     [migration/6]
     55       2 root     S        0 ksoftirqd/6     [ksoftirqd/6]
     57       2 root     I<       0 kworker/6:0H-kb [kworker/6:0H-kblockd]
     58       2 root     S        0 cpuhp/7         [cpuhp/7]
     59       2 root     S        0 idle_inject/7   [idle_inject/7]
     60       2 root     S        0 migration/7     [migration/7]
     61       2 root     S        0 ksoftirqd/7     [ksoftirqd/7]
     63       2 root     I<       0 kworker/7:0H-kb [kworker/7:0H-kblockd]
     64       2 root     S        0 cpuhp/8         [cpuhp/8]
     65       2 root     S        0 idle_inject/8   [idle_inject/8]
     66       2 root     S        0 migration/8     [migration/8]
     67       2 root     S        0 ksoftirqd/8     [ksoftirqd/8]
     69       2 root     I<       0 kworker/8:0H-kb [kworker/8:0H-kblockd]
     70       2 root     S        0 cpuhp/9         [cpuhp/9]
     71       2 root     S        0 idle_inject/9   [idle_inject/9]
     72       2 root     S        0 migration/9     [migration/9]
     73       2 root     S        0 ksoftirqd/9     [ksoftirqd/9]
     75       2 root     I<       0 kworker/9:0H-kb [kworker/9:0H-kblockd]
     76       2 root     S        0 cpuhp/10        [cpuhp/10]
     77       2 root     S        0 idle_inject/10  [idle_inject/10]
     78       2 root     S        0 migration/10    [migration/10]
     79       2 root     S        0 ksoftirqd/10    [ksoftirqd/10]
     81       2 root     I<       0 kworker/10:0H-k [kworker/10:0H-kblockd]
     82       2 root     S        0 cpuhp/11        [cpuhp/11]
     83       2 root     S        0 idle_inject/11  [idle_inject/11]
     84       2 root     S        0 migration/11    [migration/11]
     85       2 root     S        0 ksoftirqd/11    [ksoftirqd/11]
     87       2 root     I<       0 kworker/11:0H-k [kworker/11:0H-kblockd]
     90       2 root     S        0 kdevtmpfs       [kdevtmpfs]
     91       2 root     I<       0 kworker/R-inet_ [kworker/R-inet_frag_wq]
     92       2 root     I        0 rcu_tasks_kthre [rcu_tasks_kthread]
     93       2 root     I        0 rcu_tasks_rude_ [rcu_tasks_rude_kthread]
     94       2 root     S        0 kauditd         [kauditd]
     95       2 root     S        0 khungtaskd      [khungtaskd]
     96       2 root     S        0 oom_reaper      [oom_reaper]
    100       2 root     I<       0 kworker/R-write [kworker/R-writeback]
    101       2 root     S        0 kcompactd0      [kcompactd0]
    102       2 root     SN       0 ksmd            [ksmd]
    103       2 root     SN       0 khugepaged      [khugepaged]
    104       2 root     I<       0 kworker/R-kbloc [kworker/R-kblockd]
    105       2 root     I<       0 kworker/R-blkcg [kworker/R-blkcg_punt_bio]
    106       2 root     I<       0 kworker/R-kinte [kworker/R-kintegrityd]
    107       2 root     S        0 irq/9-acpi      [irq/9-acpi]
    108       2 root     I<       0 kworker/R-tpm_d [kworker/R-tpm_dev_wq]
    109       2 root     I<       0 kworker/R-ata_s [kworker/R-ata_sff]
    110       2 root     I<       0 kworker/R-md_bi [kworker/R-md_bitmap]
    111       2 root     I<       0 kworker/R-md_ll [kworker/R-md_llbitmap_io]
    112       2 root     I<       0 kworker/R-md_ll [kworker/R-md_llbitmap_unplug]
    113       2 root     I<       0 kworker/R-edac- [kworker/R-edac-poller]
    115       2 root     I<       0 kworker/R-devfr [kworker/R-devfreq_wq]
    116       2 root     S        0 watchdogd       [watchdogd]
    117       2 root     I<       0 kworker/R-quota [kworker/R-quota_events_unbound]
    121       2 root     S        0 kswapd0         [kswapd0]
    122       2 root     S        0 ecryptfs-kthrea [ecryptfs-kthread]
    124       2 root     I<       0 kworker/R-kthro [kworker/R-kthrotld]
    125       2 root     I<       0 kworker/u51:0-h [kworker/u51:0-hci0]
    126       2 root     I<       0 kworker/R-acpi_ [kworker/R-acpi_thermal_pm]
    127       2 root     I        0 kworker/10:1-cg [kworker/10:1-cgroup_free]
    131       2 root     I<       0 kworker/R-mld   [kworker/R-mld]
    132       2 root     I<       0 kworker/R-ipv6_ [kworker/R-ipv6_addrconf]
    133       2 root     I<       0 kworker/R-kstrp [kworker/R-kstrp]
    139       2 root     I<       0 kworker/u52:0-t [kworker/u52:0-ttm]
    151       2 root     I<       0 kworker/R-charg [kworker/R-charger_manager]
    365       2 root     S        0 ccp-1-q2        [ccp-1-q2]
    366       2 root     S        0 ccp-1-q3        [ccp-1-q3]
    367       2 root     S        0 ccp-1-q4        [ccp-1-q4]
    368       2 root     S        0 hwrng           [hwrng]
    369       2 root     S        0 scsi_eh_0       [scsi_eh_0]
    370       2 root     I<       0 kworker/R-scsi_ [kworker/R-scsi_tmf_0]
    371       2 root     S        0 scsi_eh_1       [scsi_eh_1]
    372       2 root     I<       0 kworker/R-scsi_ [kworker/R-scsi_tmf_1]
    373       2 root     S        0 scsi_eh_2       [scsi_eh_2]
    374       2 root     I<       0 kworker/R-scsi_ [kworker/R-scsi_tmf_2]
    375       2 root     S        0 scsi_eh_3       [scsi_eh_3]
    376       2 root     I<       0 kworker/R-scsi_ [kworker/R-scsi_tmf_3]
    377       2 root     S        0 scsi_eh_4       [scsi_eh_4]
    378       2 root     I<       0 kworker/R-scsi_ [kworker/R-scsi_tmf_4]
    379       2 root     S        0 scsi_eh_5       [scsi_eh_5]
    380       2 root     I<       0 kworker/R-scsi_ [kworker/R-scsi_tmf_5]
    381       2 root     S        0 scsi_eh_6       [scsi_eh_6]
    382       2 root     I<       0 kworker/R-scsi_ [kworker/R-scsi_tmf_6]
    383       2 root     S        0 scsi_eh_7       [scsi_eh_7]
    384       2 root     I<       0 kworker/R-scsi_ [kworker/R-scsi_tmf_7]
    385       2 root     I<       0 kworker/R-nvme- [kworker/R-nvme-wq]
    387       2 root     I<       0 kworker/R-nvme- [kworker/R-nvme-reset-wq]
    390       2 root     I<       0 kworker/R-nvme- [kworker/R-nvme-delete-wq]
    395       2 root     I<       0 kworker/R-nvme- [kworker/R-nvme-auth-wq]
    396       2 root     S        0 scsi_eh_8       [scsi_eh_8]
    397       2 root     I<       0 kworker/R-scsi_ [kworker/R-scsi_tmf_8]
    398       2 root     S        0 scsi_eh_9       [scsi_eh_9]
    399       2 root     I<       0 kworker/R-scsi_ [kworker/R-scsi_tmf_9]
    402       2 root     S        0 scsi_eh_10      [scsi_eh_10]
    403       2 root     I<       0 kworker/R-scsi_ [kworker/R-scsi_tmf_10]
    424       2 root     I<       0 kworker/1:1H-kb [kworker/1:1H-kblockd]
    440       2 root     S        0 jbd2/nvme0n1p2- [jbd2/nvme0n1p2-8]
    441       2 root     I<       0 kworker/R-ext4- [kworker/R-ext4-rsv-conversion]
    491       2 root     S        0 psimon          [psimon]
    497       1 root     S<s  21468 systemd-journal /usr/lib/systemd/systemd-journald
    536       2 root     I<       0 kworker/3:1H-kb [kworker/3:1H-kblockd]
    542       2 root     I<       0 kworker/8:1H-kb [kworker/8:1H-kblockd]
    545       1 root     Ss   14880 systemd-udevd   /usr/lib/systemd/systemd-udevd
    549       1 systemd+ Ss   14516 systemd-resolve /usr/lib/systemd/systemd-resolved
    550       2 root     I<       0 kworker/6:1H-kb [kworker/6:1H-kblockd]
    555       2 root     S        0 psimon          [psimon]
    601       2 root     I<       0 kworker/7:1H-kb [kworker/7:1H-kblockd]
    908       2 root     I<       0 kworker/u51:1-h [kworker/u51:1-hci0]
    912       2 root     I<       0 kworker/0:1H-kb [kworker/0:1H-kblockd]
    952       2 root     I<       0 kworker/11:1H-k [kworker/11:1H-kblockd]
   1001       2 root     I<       0 kworker/2:1H-kb [kworker/2:1H-kblockd]
   1010       2 root     I<       0 kworker/5:1H-kb [kworker/5:1H-kblockd]
   1024       2 root     I<       0 kworker/9:1H-kb [kworker/9:1H-kblockd]
   1025       2 root     S        0 jbd2/sdb1-8     [jbd2/sdb1-8]
   1026       2 root     I<       0 kworker/R-ext4- [kworker/R-ext4-rsv-conversion]
   1039       2 root     I<       0 kworker/10:1H-k [kworker/10:1H-kblockd]
   1044       2 root     I        0 kworker/u50:6-e [kworker/u50:6-events_power_efficient]
   1074       1 systemd+ Ss    7580 systemd-oomd    /usr/lib/systemd/systemd-oomd
   1352       2 root     I<       0 kworker/R-amdgp [kworker/R-amdgpu-reset-dev]
   1378       2 root     I<       0 kworker/R-ttm   [kworker/R-ttm]
   1455       2 root     I<       0 kworker/4:1H-kb [kworker/4:1H-kblockd]
   1481       1 avahi    Ss    4716 avahi-daemon    avahi-daemon: running [sanjevi-linux.local]
   1482       1 root     Ss    7208 bluetoothd      /usr/libexec/bluetooth/bluetoothd
   1484       1 root     Ss    1936 chronyd-starter /bin/sh /usr/lib/systemd/scripts/chronyd-starter.sh -n -F 1
   1485       1 message+ Ss    8812 dbus-daemon     @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1490       1 gnome-r+ Ssl  23664 gnome-remote-de /usr/libexec/gnome-remote-desktop-daemon --system
   1496       1 root     Ss   29660 networkd-dispat /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
   1502       1 polkitd  Ssl  12336 polkitd         /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
   1510       1 root     Ssl  42168 snapd           /snap/snapd/current/usr/lib/snapd/snapd
   1513       1 root     Ssl   8248 accounts-daemon /usr/libexec/accounts-daemon
   1516       1 root     Ss    3276 cron            /usr/sbin/cron -f -P
   1517       1 root     Ssl   7692 switcheroo-cont /usr/libexec/switcheroo-control
   1522       1 root     Ss   10092 systemd-logind  /usr/lib/systemd/systemd-logind
   1524       1 root     Ssl  16476 udisksd         /usr/libexec/udisks2/udisksd
   1537    1481 avahi    S     1644 avahi-daemon    avahi-daemon: chroot helper
   1564       1 syslog   Ssl   5996 rsyslogd        /usr/sbin/rsyslogd -n -iNONE
   1568    1484 _chrony  S    11044 chronyd         /usr/sbin/chronyd -n -F 1
