target,block,variant,repetition,sample_index,milliseconds
fireside,1,long-polling,1,1,19.30000001192093
fireside,1,long-polling,1,2,18.599999994039536
fireside,1,long-polling,1,3,19.30000001192093
fireside,1,long-polling,1,4,13.199999988079071
fireside,1,long-polling,1,5,17.19999998807907
fireside,1,long-polling,1,6,13.400000005960464
fireside,1,long-polling,1,7,15.900000005960464
fireside,1,long-polling,1,8,10.099999994039536
fireside,1,long-polling,1,9,12
fireside,1,long-polling,1,10,12.099999994039536
fireside,1,long-polling,1,11,15.900000005960464
fireside,1,long-polling,1,12,11.599999994039536
fireside,1,long-polling,1,13,12.600000023841858
fireside,1,long-polling,1,14,15.5
fireside,1,long-polling,1,15,10.5
fireside,1,long-polling,1,16,10.599999994039536
fireside,1,long-polling,1,17,10.299999982118607
fireside,1,long-polling,1,18,10.400000005960464
fireside,1,long-polling,1,19,9.700000017881393
fireside,1,long-polling,1,20,11.799999982118607
fireside,1,long-polling,1,21,18.700000017881393
fireside,1,long-polling,1,22,14.899999976158142
fireside,1,long-polling,1,23,14.800000011920929
fireside,1,long-polling,1,24,18.5
fireside,1,long-polling,1,25,10.599999994039536
fireside,1,long-polling,1,26,12.300000011920929
fireside,1,long-polling,1,27,11.699999988079071
fireside,1,long-polling,1,28,15.599999994039536
fireside,1,long-polling,1,29,11.5
fireside,1,long-polling,1,30,12.100000023841858
fireside,1,long-polling,1,31,16.899999976158142
fireside,1,long-polling,1,32,12.100000023841858
fireside,1,long-polling,1,33,11.199999988079071
fireside,1,long-polling,1,34,15.699999988079071
fireside,1,long-polling,1,35,10.600000023841858
fireside,1,long-polling,1,36,9.599999994039536
fireside,1,long-polling,1,37,10.5
fireside,1,long-polling,1,38,9.5
fireside,1,long-polling,1,39,10.799999982118607
fireside,1,long-polling,1,40,9.300000011920929
fireside,1,long-polling,1,41,10.599999994039536
fireside,1,long-polling,1,42,10.200000017881393
fireside,1,long-polling,1,43,10.899999976158142
fireside,1,long-polling,1,44,9.200000017881393
fireside,1,long-polling,1,45,10
fireside,1,long-polling,1,46,10.299999982118607
fireside,1,long-polling,1,47,11.5
fireside,1,long-polling,1,48,10.400000005960464
fireside,1,long-polling,1,49,10.300000011920929
fireside,1,long-polling,1,50,16.400000005960464
fireside,1,long-polling,1,51,10.5
fireside,1,long-polling,1,52,12.299999982118607
fireside,1,long-polling,1,53,10.400000005960464
fireside,1,long-polling,1,54,10
fireside,1,long-polling,1,55,16.5
fireside,1,long-polling,1,56,11.199999988079071
fireside,1,long-polling,1,57,10
fireside,1,long-polling,1,58,9.900000005960464
fireside,1,long-polling,1,59,10.300000011920929
fireside,1,long-polling,1,60,20.900000005960464
fireside,1,long-polling,1,61,20
fireside,1,long-polling,1,62,21.099999994039536
fireside,1,long-polling,1,63,18.099999994039536
fireside,1,long-polling,1,64,11.900000005960464
fireside,1,long-polling,1,65,18
fireside,1,long-polling,1,66,11.900000005960464
fireside,1,long-polling,1,67,18.599999994039536
