target,block,variant,repetition,milliseconds
fireside,1,long-polling,1,3.6560460000000603
fireside,1,streaming,1,3.803696000000855
fireside,1,buffering-proxy-auto-detection,1,4.070576000000074
fireside,1,long-polling,2,3.2816670000011072
fireside,1,streaming,2,3.1537269999989803
fireside,1,buffering-proxy-auto-detection,2,4.699435999998968
fireside,1,long-polling,3,3.4794069999989006
fireside,1,streaming,3,4.403125000000728
fireside,1,buffering-proxy-auto-detection,3,3.411396000003151
java,2,long-polling,1,2.658197000000655
java,2,streaming,1,3.914625999999771
java,2,buffering-proxy-auto-detection,1,2.8456270000006043
java,2,long-polling,2,3.035266999999294
java,2,streaming,2,2.972907999999734
java,2,buffering-proxy-auto-detection,2,2.436247000001458
java,2,long-polling,3,2.887618000000657
java,2,streaming,3,2.2290780000002997
java,2,buffering-proxy-auto-detection,3,3.0761270000002696
java,3,long-polling,1,4.475936000000729
java,3,streaming,1,2.9631370000006427
java,3,buffering-proxy-auto-detection,1,3.6473669999995764
java,3,long-polling,2,3.396566999999777
java,3,streaming,2,3.1030769999997574
java,3,buffering-proxy-auto-detection,2,3.8368159999990894
java,3,long-polling,3,3.5923169999987294
java,3,streaming,3,3.2190369999989343
java,3,buffering-proxy-auto-detection,3,3.6099469999971916
fireside,4,long-polling,1,3.6606259999998656
fireside,4,streaming,1,3.4665970000005473
fireside,4,buffering-proxy-auto-detection,1,2.6820669999997335
fireside,4,long-polling,2,3.6840769999998884
fireside,4,streaming,2,3.0331369999985327
fireside,4,buffering-proxy-auto-detection,2,3.2066070000000764
fireside,4,long-polling,3,3.1583669999999984
fireside,4,streaming,3,3.4450159999978496
fireside,4,buffering-proxy-auto-detection,3,3.6965060000002268
