mode,variant,sample_index,delivery_milliseconds
memory,long-polling,1,23.200000
memory,long-polling,2,15.400000
memory,long-polling,3,18.900000
memory,long-polling,4,22.800000
memory,long-polling,5,22.200000
memory,long-polling,6,17.200000
memory,long-polling,7,17.800000
memory,long-polling,8,15.300000
memory,long-polling,9,14.400000
memory,long-polling,10,12.600000
memory,long-polling,11,18.000000
memory,long-polling,12,11.800000
memory,long-polling,13,20.600000
memory,long-polling,14,18.500000
memory,long-polling,15,19.000000
memory,long-polling,16,17.500000
memory,long-polling,17,13.500000
memory,long-polling,18,19.100000
memory,long-polling,19,12.500000
memory,long-polling,20,18.000000
memory,long-polling,21,12.400000
memory,long-polling,22,17.600000
memory,long-polling,23,22.300000
memory,long-polling,24,20.300000
memory,long-polling,25,19.300000
memory,long-polling,26,19.800000
memory,long-polling,27,20.000000
memory,long-polling,28,21.100000
memory,long-polling,29,21.000000
memory,long-polling,30,17.700000
memory,long-polling,31,19.900000
memory,long-polling,32,19.500000
memory,long-polling,33,19.600000
memory,long-polling,34,20.800000
memory,long-polling,35,19.100000
memory,long-polling,36,20.300000
memory,long-polling,37,20.300000
memory,long-polling,38,17.600000
memory,long-polling,39,20.500000
memory,long-polling,40,20.600000
memory,long-polling,41,19.000000
memory,long-polling,42,18.500000
memory,long-polling,43,24.800000
memory,long-polling,44,21.700000
memory,long-polling,45,19.400000
memory,long-polling,46,19.300000
memory,long-polling,47,23.800000
memory,long-polling,48,14.500000
memory,long-polling,49,18.400000
memory,long-polling,50,20.100000
memory,long-polling,51,20.300000
memory,long-polling,52,19.900000
memory,long-polling,53,19.400000
memory,long-polling,54,16.800000
memory,long-polling,55,20.400000
memory,long-polling,56,13.600000
memory,long-polling,57,23.600000
memory,long-polling,58,20.100000
memory,long-polling,59,20.300000
memory,long-polling,60,17.400000
memory,long-polling,61,21.700000
memory,long-polling,62,18.100000
memory,long-polling,63,21.600000
memory,long-polling,64,19.600000
memory,long-polling,65,20.300000
memory,long-polling,66,20.900000
memory,long-polling,67,20.800000
memory,long-polling,68,20.300000
memory,long-polling,69,19.300000
memory,long-polling,70,18.700000
memory,long-polling,71,20.500000
memory,long-polling,72,18.100000
memory,long-polling,73,21.100000
memory,long-polling,74,19.500000
memory,long-polling,75,21.100000
memory,long-polling,76,20.400000
memory,long-polling,77,19.700000
memory,long-polling,78,20.800000
memory,long-polling,79,19.800000
memory,long-polling,80,20.300000
memory,long-polling,81,27.500000
memory,long-polling,82,19.800000
memory,long-polling,83,20.500000
memory,long-polling,84,17.900000
memory,long-polling,85,19.300000
memory,long-polling,86,20.800000
memory,long-polling,87,19.200000
memory,long-polling,88,13.500000
memory,long-polling,89,17.500000
memory,long-polling,90,19.600000
memory,long-polling,91,18.600000
memory,long-polling,92,10.700000
memory,long-polling,93,13.100000
memory,long-polling,94,18.700000
memory,long-polling,95,18.200000
memory,long-polling,96,20.000000
memory,long-polling,97,11.700000
memory,long-polling,98,18.000000
memory,long-polling,99,12.900000
memory,long-polling,100,17.400000
memory,streaming,1,16.600000
memory,streaming,2,11.500000
memory,streaming,3,11.700000
memory,streaming,4,17.500000
memory,streaming,5,19.800000
memory,streaming,6,13.800000
memory,streaming,7,16.700000
memory,streaming,8,12.500000
memory,streaming,9,17.100000
memory,streaming,10,13.300000
memory,streaming,11,17.200000
memory,streaming,12,12.700000
memory,streaming,13,17.200000
memory,streaming,14,19.600000
memory,streaming,15,13.300000
memory,streaming,16,17.000000
memory,streaming,17,12.200000
memory,streaming,18,17.000000
memory,streaming,19,12.800000
memory,streaming,20,18.200000
memory,streaming,21,12.400000
memory,streaming,22,17.100000
memory,streaming,23,12.100000
memory,streaming,24,18.400000
memory,streaming,25,19.500000
memory,streaming,26,12.600000
memory,streaming,27,17.800000
memory,streaming,28,12.200000
memory,streaming,29,18.200000
memory,streaming,30,19.400000
memory,streaming,31,12.200000
memory,streaming,32,17.500000
memory,streaming,33,12.300000
memory,streaming,34,17.800000
memory,streaming,35,12.400000
memory,streaming,36,17.800000
memory,streaming,37,12.400000
memory,streaming,38,17.600000
memory,streaming,39,11.700000
memory,streaming,40,18.000000
memory,streaming,41,12.300000
memory,streaming,42,18.400000
memory,streaming,43,19.900000
memory,streaming,44,12.200000
memory,streaming,45,17.600000
memory,streaming,46,12.300000
memory,streaming,47,17.700000
memory,streaming,48,11.600000
memory,streaming,49,18.100000
memory,streaming,50,11.900000
memory,streaming,51,18.400000
memory,streaming,52,11.800000
memory,streaming,53,17.900000
memory,streaming,54,12.300000
memory,streaming,55,17.500000
memory,streaming,56,12.400000
memory,streaming,57,17.500000
memory,streaming,58,12.200000
memory,streaming,59,17.900000
memory,streaming,60,12.700000
memory,streaming,61,17.900000
memory,streaming,62,11.600000
memory,streaming,63,17.200000
memory,streaming,64,19.700000
memory,streaming,65,11.900000
memory,streaming,66,12.000000
memory,streaming,67,16.500000
memory,streaming,68,12.500000
memory,streaming,69,18.400000
memory,streaming,70,12.300000
memory,streaming,71,17.800000
memory,streaming,72,12.000000
memory,streaming,73,17.200000
memory,streaming,74,11.800000
memory,streaming,75,17.900000
memory,streaming,76,12.800000
memory,streaming,77,17.700000
memory,streaming,78,12.200000
memory,streaming,79,17.700000
memory,streaming,80,12.100000
memory,streaming,81,18.600000
memory,streaming,82,12.400000
memory,streaming,83,17.100000
memory,streaming,84,12.000000
memory,streaming,85,18.100000
memory,streaming,86,12.200000
memory,streaming,87,17.500000
memory,streaming,88,12.100000
memory,streaming,89,17.500000
memory,streaming,90,12.300000
memory,streaming,91,18.100000
memory,streaming,92,12.100000
memory,streaming,93,17.900000
memory,streaming,94,12.300000
memory,streaming,95,18.100000
memory,streaming,96,12.600000
memory,streaming,97,17.200000
memory,streaming,98,12.300000
memory,streaming,99,17.800000
memory,streaming,100,12.100000
memory,buffering-proxy-auto-detection,1,20.800000
memory,buffering-proxy-auto-detection,2,19.900000
memory,buffering-proxy-auto-detection,3,18.800000
memory,buffering-proxy-auto-detection,4,17.700000
memory,buffering-proxy-auto-detection,5,24.200000
memory,buffering-proxy-auto-detection,6,19.200000
memory,buffering-proxy-auto-detection,7,20.400000
memory,buffering-proxy-auto-detection,8,20.000000
memory,buffering-proxy-auto-detection,9,20.000000
memory,buffering-proxy-auto-detection,10,19.800000
memory,buffering-proxy-auto-detection,11,20.500000
memory,buffering-proxy-auto-detection,12,19.800000
memory,buffering-proxy-auto-detection,13,19.900000
memory,buffering-proxy-auto-detection,14,19.800000
memory,buffering-proxy-auto-detection,15,19.500000
memory,buffering-proxy-auto-detection,16,20.600000
memory,buffering-proxy-auto-detection,17,20.500000
memory,buffering-proxy-auto-detection,18,16.800000
memory,buffering-proxy-auto-detection,19,22.900000
memory,buffering-proxy-auto-detection,20,19.700000
memory,buffering-proxy-auto-detection,21,20.500000
memory,buffering-proxy-auto-detection,22,17.500000
memory,buffering-proxy-auto-detection,23,20.100000
memory,buffering-proxy-auto-detection,24,18.000000
memory,buffering-proxy-auto-detection,25,22.600000
memory,buffering-proxy-auto-detection,26,20.700000
memory,buffering-proxy-auto-detection,27,20.600000
memory,buffering-proxy-auto-detection,28,19.800000
memory,buffering-proxy-auto-detection,29,18.000000
memory,buffering-proxy-auto-detection,30,20.900000
memory,buffering-proxy-auto-detection,31,19.700000
memory,buffering-proxy-auto-detection,32,19.800000
memory,buffering-proxy-auto-detection,33,20.000000
memory,buffering-proxy-auto-detection,34,21.200000
memory,buffering-proxy-auto-detection,35,18.600000
memory,buffering-proxy-auto-detection,36,21.300000
memory,buffering-proxy-auto-detection,37,20.200000
memory,buffering-proxy-auto-detection,38,19.800000
memory,buffering-proxy-auto-detection,39,21.100000
memory,buffering-proxy-auto-detection,40,18.700000
memory,buffering-proxy-auto-detection,41,21.700000
memory,buffering-proxy-auto-detection,42,18.400000
memory,buffering-proxy-auto-detection,43,16.700000
memory,buffering-proxy-auto-detection,44,20.400000
memory,buffering-proxy-auto-detection,45,19.000000
memory,buffering-proxy-auto-detection,46,10.200000
memory,buffering-proxy-auto-detection,47,13.200000
memory,buffering-proxy-auto-detection,48,20.800000
memory,buffering-proxy-auto-detection,49,17.700000
memory,buffering-proxy-auto-detection,50,21.800000
memory,buffering-proxy-auto-detection,51,20.600000
memory,buffering-proxy-auto-detection,52,20.100000
memory,buffering-proxy-auto-detection,53,20.000000
memory,buffering-proxy-auto-detection,54,20.600000
memory,buffering-proxy-auto-detection,55,19.300000
memory,buffering-proxy-auto-detection,56,20.400000
memory,buffering-proxy-auto-detection,57,21.300000
memory,buffering-proxy-auto-detection,58,17.200000
memory,buffering-proxy-auto-detection,59,19.600000
memory,buffering-proxy-auto-detection,60,22.100000
memory,buffering-proxy-auto-detection,61,19.300000
memory,buffering-proxy-auto-detection,62,20.200000
memory,buffering-proxy-auto-detection,63,20.100000
memory,buffering-proxy-auto-detection,64,20.000000
memory,buffering-proxy-auto-detection,65,17.100000
memory,buffering-proxy-auto-detection,66,19.400000
memory,buffering-proxy-auto-detection,67,21.100000
memory,buffering-proxy-auto-detection,68,22.600000
memory,buffering-proxy-auto-detection,69,19.800000
memory,buffering-proxy-auto-detection,70,20.300000
memory,buffering-proxy-auto-detection,71,20.200000
memory,buffering-proxy-auto-detection,72,17.700000
memory,buffering-proxy-auto-detection,73,21.900000
memory,buffering-proxy-auto-detection,74,20.000000
memory,buffering-proxy-auto-detection,75,19.900000
memory,buffering-proxy-auto-detection,76,19.900000
memory,buffering-proxy-auto-detection,77,20.100000
memory,buffering-proxy-auto-detection,78,19.900000
memory,buffering-proxy-auto-detection,79,20.300000
memory,buffering-proxy-auto-detection,80,19.900000
memory,buffering-proxy-auto-detection,81,21.200000
memory,buffering-proxy-auto-detection,82,17.900000
memory,buffering-proxy-auto-detection,83,21.400000
memory,buffering-proxy-auto-detection,84,16.800000
memory,buffering-proxy-auto-detection,85,20.500000
memory,buffering-proxy-auto-detection,86,21.500000
memory,buffering-proxy-auto-detection,87,20.200000
memory,buffering-proxy-auto-detection,88,20.800000
memory,buffering-proxy-auto-detection,89,20.000000
memory,buffering-proxy-auto-detection,90,19.900000
memory,buffering-proxy-auto-detection,91,18.800000
memory,buffering-proxy-auto-detection,92,17.900000
memory,buffering-proxy-auto-detection,93,20.700000
memory,buffering-proxy-auto-detection,94,22.100000
memory,buffering-proxy-auto-detection,95,19.000000
memory,buffering-proxy-auto-detection,96,18.100000
memory,buffering-proxy-auto-detection,97,19.800000
memory,buffering-proxy-auto-detection,98,21.500000
memory,buffering-proxy-auto-detection,99,21.500000
