mode,variant,sample_index,delivery_milliseconds
memory,long-polling,1,18.900000
memory,long-polling,2,18.200000
memory,long-polling,3,19.700000
memory,long-polling,4,22.700000
memory,long-polling,5,21.100000
memory,long-polling,6,19.300000
memory,long-polling,7,20.100000
memory,long-polling,8,20.500000
memory,long-polling,9,18.400000
memory,long-polling,10,18.500000
memory,long-polling,11,20.900000
memory,long-polling,12,20.300000
memory,long-polling,13,21.500000
memory,long-polling,14,18.500000
memory,long-polling,15,19.900000
memory,long-polling,16,20.300000
memory,long-polling,17,19.300000
memory,long-polling,18,20.200000
memory,long-polling,19,20.900000
memory,long-polling,20,20.700000
memory,long-polling,21,21.500000
memory,long-polling,22,19.600000
memory,long-polling,23,21.700000
memory,long-polling,24,14.000000
memory,long-polling,25,19.100000
memory,long-polling,26,12.400000
memory,long-polling,27,18.500000
memory,long-polling,28,12.400000
memory,long-polling,29,17.800000
memory,long-polling,30,11.200000
memory,long-polling,31,18.600000
memory,long-polling,32,19.900000
memory,long-polling,33,14.600000
memory,long-polling,34,18.000000
memory,long-polling,35,18.700000
memory,long-polling,36,21.400000
memory,long-polling,37,22.200000
memory,long-polling,38,19.000000
memory,long-polling,39,16.000000
memory,long-polling,40,19.300000
memory,long-polling,41,11.400000
memory,long-polling,42,18.700000
memory,long-polling,43,23.900000
memory,long-polling,44,18.700000
memory,long-polling,45,19.400000
memory,long-polling,46,19.600000
memory,long-polling,47,18.400000
memory,long-polling,48,16.800000
memory,long-polling,49,16.700000
memory,long-polling,50,19.700000
memory,long-polling,51,18.300000
memory,long-polling,52,19.600000
memory,long-polling,53,19.300000
memory,long-polling,54,20.000000
memory,long-polling,55,21.000000
memory,long-polling,56,23.200000
memory,long-polling,57,18.300000
memory,long-polling,58,17.000000
memory,long-polling,59,11.300000
memory,long-polling,60,18.900000
memory,long-polling,61,12.600000
memory,long-polling,62,19.500000
memory,long-polling,63,18.800000
memory,long-polling,64,21.300000
memory,long-polling,65,20.100000
memory,long-polling,66,20.500000
memory,long-polling,67,17.000000
memory,long-polling,68,15.400000
memory,long-polling,69,21.800000
memory,long-polling,70,13.200000
memory,long-polling,71,11.300000
memory,long-polling,72,19.500000
memory,long-polling,73,19.000000
memory,long-polling,74,17.000000
memory,long-polling,75,20.200000
memory,long-polling,76,19.300000
memory,long-polling,77,14.900000
memory,long-polling,78,20.300000
memory,long-polling,79,21.500000
memory,long-polling,80,18.700000
memory,long-polling,81,19.300000
memory,long-polling,82,9.600000
memory,long-polling,83,21.100000
memory,long-polling,84,19.700000
memory,long-polling,85,19.600000
memory,long-polling,86,21.200000
memory,long-polling,87,21.600000
memory,long-polling,88,20.800000
memory,long-polling,89,18.300000
memory,long-polling,90,20.700000
memory,long-polling,91,17.100000
memory,long-polling,92,20.200000
memory,long-polling,93,21.200000
memory,long-polling,94,18.200000
memory,long-polling,95,10.500000
memory,long-polling,96,21.200000
memory,long-polling,97,19.400000
memory,long-polling,98,20.000000
memory,long-polling,99,22.900000
memory,long-polling,100,21.000000
memory,streaming,1,11.400000
memory,streaming,2,18.800000
memory,streaming,3,19.500000
memory,streaming,4,19.700000
memory,streaming,5,13.000000
memory,streaming,6,16.400000
memory,streaming,7,12.500000
memory,streaming,8,18.000000
memory,streaming,9,12.900000
memory,streaming,10,16.600000
memory,streaming,11,12.500000
memory,streaming,12,18.300000
memory,streaming,13,12.100000
memory,streaming,14,17.700000
memory,streaming,15,12.000000
memory,streaming,16,18.000000
memory,streaming,17,11.800000
memory,streaming,18,17.600000
memory,streaming,19,12.700000
memory,streaming,20,17.700000
memory,streaming,21,12.500000
memory,streaming,22,17.600000
memory,streaming,23,12.200000
memory,streaming,24,17.700000
memory,streaming,25,12.600000
memory,streaming,26,17.000000
memory,streaming,27,12.500000
memory,streaming,28,17.900000
memory,streaming,29,12.200000
memory,streaming,30,17.700000
memory,streaming,31,12.700000
memory,streaming,32,17.500000
memory,streaming,33,10.800000
memory,streaming,34,10.600000
memory,streaming,35,10.300000
memory,streaming,36,9.900000
memory,streaming,37,12.100000
memory,streaming,38,15.700000
memory,streaming,39,12.200000
memory,streaming,40,17.500000
memory,streaming,41,12.300000
memory,streaming,42,18.600000
memory,streaming,43,12.900000
memory,streaming,44,16.600000
memory,streaming,45,11.900000
memory,streaming,46,18.700000
memory,streaming,47,11.500000
memory,streaming,48,10.100000
memory,streaming,49,17.600000
memory,streaming,50,12.800000
memory,streaming,51,17.700000
memory,streaming,52,12.000000
memory,streaming,53,17.900000
memory,streaming,54,12.100000
memory,streaming,55,17.800000
memory,streaming,56,12.300000
memory,streaming,57,17.800000
memory,streaming,58,12.000000
memory,streaming,59,17.600000
memory,streaming,60,12.200000
memory,streaming,61,18.000000
memory,streaming,62,12.200000
memory,streaming,63,17.700000
memory,streaming,64,11.900000
memory,streaming,65,18.800000
memory,streaming,66,11.700000
memory,streaming,67,18.000000
memory,streaming,68,12.300000
memory,streaming,69,18.000000
memory,streaming,70,11.900000
memory,streaming,71,17.800000
memory,streaming,72,11.900000
memory,streaming,73,18.100000
memory,streaming,74,12.400000
memory,streaming,75,17.300000
memory,streaming,76,12.500000
memory,streaming,77,17.900000
memory,streaming,78,12.200000
memory,streaming,79,17.500000
memory,streaming,80,12.700000
memory,streaming,81,17.500000
memory,streaming,82,13.100000
memory,streaming,83,17.000000
memory,streaming,84,12.100000
memory,streaming,85,17.700000
memory,streaming,86,11.100000
memory,streaming,87,9.900000
memory,streaming,88,8.400000
memory,streaming,89,11.200000
memory,streaming,90,11.500000
memory,streaming,91,17.900000
memory,streaming,92,10.300000
memory,streaming,93,10.000000
memory,streaming,94,9.600000
memory,streaming,95,8.900000
memory,streaming,96,9.500000
memory,streaming,97,10.700000
memory,streaming,98,11.500000
memory,streaming,99,9.300000
memory,streaming,100,9.800000
memory,buffering-proxy-auto-detection,1,20.000000
memory,buffering-proxy-auto-detection,2,17.700000
memory,buffering-proxy-auto-detection,3,19.800000
memory,buffering-proxy-auto-detection,4,18.600000
memory,buffering-proxy-auto-detection,5,19.900000
memory,buffering-proxy-auto-detection,6,23.400000
memory,buffering-proxy-auto-detection,7,19.900000
memory,buffering-proxy-auto-detection,8,19.700000
