mode,variant,sample_index,delivery_milliseconds
memory,long-polling,1,19.800000
memory,long-polling,2,16.900000
memory,long-polling,3,20.300000
memory,long-polling,4,20.700000
memory,long-polling,5,18.900000
memory,long-polling,6,19.200000
memory,long-polling,7,12.000000
memory,long-polling,8,18.200000
memory,long-polling,9,11.500000
memory,long-polling,10,19.900000
memory,long-polling,11,18.100000
memory,long-polling,12,14.400000
memory,long-polling,13,16.600000
memory,long-polling,14,20.600000
memory,long-polling,15,18.400000
memory,long-polling,16,16.800000
memory,long-polling,17,15.700000
memory,long-polling,18,18.600000
memory,long-polling,19,20.300000
memory,long-polling,20,22.800000
memory,long-polling,21,23.600000
memory,long-polling,22,22.500000
memory,long-polling,23,21.300000
memory,long-polling,24,21.500000
memory,long-polling,25,20.600000
memory,long-polling,26,20.200000
memory,long-polling,27,19.100000
memory,long-polling,28,20.400000
memory,long-polling,29,18.300000
memory,long-polling,30,20.700000
memory,long-polling,31,19.700000
memory,long-polling,32,23.000000
memory,long-polling,33,19.500000
memory,long-polling,34,16.900000
memory,long-polling,35,19.000000
memory,long-polling,36,20.400000
memory,long-polling,37,19.000000
memory,long-polling,38,21.100000
memory,long-polling,39,18.900000
memory,long-polling,40,24.300000
memory,long-polling,41,20.200000
memory,long-polling,42,21.500000
memory,long-polling,43,16.900000
memory,long-polling,44,18.500000
memory,long-polling,45,10.500000
memory,long-polling,46,17.800000
memory,long-polling,47,20.400000
memory,long-polling,48,20.400000
memory,long-polling,49,19.700000
memory,long-polling,50,22.000000
memory,long-polling,51,21.700000
memory,long-polling,52,17.900000
memory,long-polling,53,22.500000
memory,long-polling,54,16.300000
memory,long-polling,55,21.600000
memory,long-polling,56,20.000000
memory,long-polling,57,19.500000
memory,long-polling,58,20.400000
memory,long-polling,59,19.600000
memory,long-polling,60,20.300000
memory,long-polling,61,19.800000
memory,long-polling,62,19.600000
memory,long-polling,63,19.700000
memory,long-polling,64,20.700000
memory,long-polling,65,22.100000
memory,long-polling,66,19.600000
memory,long-polling,67,21.000000
memory,long-polling,68,19.400000
memory,long-polling,69,19.200000
memory,long-polling,70,21.000000
memory,long-polling,71,20.000000
memory,long-polling,72,17.800000
memory,long-polling,73,19.500000
memory,long-polling,74,19.700000
memory,long-polling,75,20.100000
memory,long-polling,76,22.500000
memory,long-polling,77,20.100000
memory,long-polling,78,20.000000
memory,long-polling,79,18.800000
memory,long-polling,80,21.500000
memory,long-polling,81,22.100000
memory,long-polling,82,14.600000
memory,long-polling,83,20.200000
memory,long-polling,84,23.300000
memory,long-polling,85,19.800000
memory,long-polling,86,18.200000
memory,long-polling,87,17.500000
memory,long-polling,88,19.500000
memory,long-polling,89,11.800000
memory,long-polling,90,17.800000
memory,long-polling,91,11.000000
memory,long-polling,92,10.300000
memory,long-polling,93,20.300000
memory,long-polling,94,19.500000
memory,long-polling,95,19.900000
memory,long-polling,96,10.800000
memory,long-polling,97,20.400000
memory,long-polling,98,23.700000
memory,long-polling,99,19.900000
memory,long-polling,100,19.400000
memory,streaming,1,11.400000
memory,streaming,2,18.100000
memory,streaming,3,11.600000
memory,streaming,4,18.500000
memory,streaming,5,11.600000
memory,streaming,6,18.200000
memory,streaming,7,12.200000
memory,streaming,8,18.600000
memory,streaming,9,18.400000
memory,streaming,10,10.000000
memory,streaming,11,11.600000
memory,streaming,12,11.200000
