mode,variant,sample_index,delivery_milliseconds
memory,long-polling,1,21.700000
memory,long-polling,2,18.300000
memory,long-polling,3,19.700000
memory,long-polling,4,19.800000
memory,long-polling,5,20.000000
memory,long-polling,6,21.600000
memory,long-polling,7,18.000000
memory,long-polling,8,19.200000
memory,long-polling,9,22.400000
memory,long-polling,10,19.500000
memory,long-polling,11,18.000000
memory,long-polling,12,18.200000
memory,long-polling,13,18.700000
memory,long-polling,14,13.200000
memory,long-polling,15,19.200000
memory,long-polling,16,19.400000
memory,long-polling,17,11.900000
memory,long-polling,18,20.700000
memory,long-polling,19,20.400000
memory,long-polling,20,21.800000
memory,long-polling,21,17.900000
memory,long-polling,22,18.200000
memory,long-polling,23,22.900000
memory,long-polling,24,19.600000
memory,long-polling,25,21.600000
memory,long-polling,26,20.900000
memory,long-polling,27,19.200000
memory,long-polling,28,19.200000
memory,long-polling,29,18.100000
memory,long-polling,30,19.900000
memory,long-polling,31,21.600000
memory,long-polling,32,19.300000
memory,long-polling,33,17.600000
memory,long-polling,34,19.300000
memory,long-polling,35,13.400000
memory,long-polling,36,17.600000
memory,long-polling,37,20.700000
memory,long-polling,38,18.800000
memory,long-polling,39,19.800000
memory,long-polling,40,24.300000
memory,long-polling,41,17.700000
memory,long-polling,42,19.700000
memory,long-polling,43,25.100000
memory,long-polling,44,19.000000
memory,long-polling,45,22.300000
memory,long-polling,46,26.800000
memory,long-polling,47,17.800000
memory,long-polling,48,18.600000
memory,long-polling,49,22.400000
memory,long-polling,50,18.400000
memory,long-polling,51,20.700000
memory,long-polling,52,19.000000
memory,long-polling,53,21.400000
memory,long-polling,54,17.900000
memory,long-polling,55,21.000000
memory,long-polling,56,22.800000
memory,long-polling,57,14.800000
memory,long-polling,58,14.700000
memory,long-polling,59,16.900000
memory,long-polling,60,19.000000
memory,long-polling,61,20.200000
memory,long-polling,62,20.100000
memory,long-polling,63,19.300000
memory,long-polling,64,11.000000
memory,long-polling,65,18.600000
memory,long-polling,66,10.900000
memory,long-polling,67,19.500000
memory,long-polling,68,22.100000
memory,long-polling,69,18.100000
memory,long-polling,70,22.000000
memory,long-polling,71,21.300000
memory,long-polling,72,18.600000
memory,long-polling,73,21.200000
memory,long-polling,74,19.100000
memory,long-polling,75,19.100000
memory,long-polling,76,22.300000
memory,long-polling,77,21.600000
memory,long-polling,78,19.700000
memory,long-polling,79,17.000000
memory,long-polling,80,19.400000
memory,long-polling,81,19.000000
memory,long-polling,82,20.200000
memory,long-polling,83,21.400000
memory,long-polling,84,18.400000
memory,long-polling,85,16.800000
memory,long-polling,86,18.000000
memory,long-polling,87,18.800000
memory,long-polling,88,20.100000
memory,long-polling,89,20.600000
memory,long-polling,90,16.100000
memory,long-polling,91,18.600000
memory,long-polling,92,11.400000
memory,long-polling,93,20.400000
memory,long-polling,94,20.400000
memory,long-polling,95,19.500000
memory,long-polling,96,21.000000
memory,long-polling,97,18.500000
memory,long-polling,98,21.100000
memory,long-polling,99,17.300000
memory,long-polling,100,11.800000
memory,streaming,1,11.600000
memory,streaming,2,16.300000
memory,streaming,3,10.700000
memory,streaming,4,11.200000
memory,streaming,5,19.000000
memory,streaming,6,12.300000
memory,streaming,7,17.400000
memory,streaming,8,11.300000
memory,streaming,9,11.100000
memory,streaming,10,18.100000
memory,streaming,11,20.600000
memory,streaming,12,19.900000
memory,streaming,13,20.100000
memory,streaming,14,12.200000
memory,streaming,15,18.000000
memory,streaming,16,11.900000
memory,streaming,17,17.300000
memory,streaming,18,12.500000
memory,streaming,19,18.100000
memory,streaming,20,12.000000
memory,streaming,21,17.300000
memory,streaming,22,12.200000
memory,streaming,23,18.200000
memory,streaming,24,12.400000
memory,streaming,25,16.900000
memory,streaming,26,12.600000
memory,streaming,27,18.800000
memory,streaming,28,19.200000
memory,streaming,29,12.800000
memory,streaming,30,17.200000
memory,streaming,31,12.100000
memory,streaming,32,18.100000
memory,streaming,33,12.000000
memory,streaming,34,17.600000
memory,streaming,35,12.300000
memory,streaming,36,17.900000
memory,streaming,37,12.400000
memory,streaming,38,17.100000
memory,streaming,39,12.200000
memory,streaming,40,17.700000
memory,streaming,41,10.600000
memory,streaming,42,11.300000
memory,streaming,43,19.000000
memory,streaming,44,20.100000
memory,streaming,45,12.200000
memory,streaming,46,16.900000
memory,streaming,47,12.300000
memory,streaming,48,18.000000
memory,streaming,49,12.400000
memory,streaming,50,18.300000
memory,streaming,51,18.800000
memory,streaming,52,12.600000
memory,streaming,53,17.700000
memory,streaming,54,12.000000
memory,streaming,55,17.600000
memory,streaming,56,12.600000
memory,streaming,57,17.900000
memory,streaming,58,12.000000
memory,streaming,59,18.400000
memory,streaming,60,12.100000
memory,streaming,61,18.000000
memory,streaming,62,19.800000
memory,streaming,63,12.300000
memory,streaming,64,17.800000
memory,streaming,65,12.600000
memory,streaming,66,18.600000
memory,streaming,67,18.600000
memory,streaming,68,12.500000
memory,streaming,69,18.200000
memory,streaming,70,18.800000
memory,streaming,71,12.600000
memory,streaming,72,17.000000
memory,streaming,73,12.300000
memory,streaming,74,18.100000
memory,streaming,75,12.000000
memory,streaming,76,17.700000
memory,streaming,77,12.200000
memory,streaming,78,17.900000
memory,streaming,79,12.500000
memory,streaming,80,17.900000
memory,streaming,81,12.200000
memory,streaming,82,17.700000
memory,streaming,83,11.700000
memory,streaming,84,17.700000
memory,streaming,85,12.000000
memory,streaming,86,18.400000
memory,streaming,87,11.600000
memory,streaming,88,18.900000
memory,streaming,89,10.300000
memory,streaming,90,8.800000
memory,streaming,91,9.500000
memory,streaming,92,10.500000
memory,streaming,93,9.000000
memory,streaming,94,10.900000
memory,streaming,95,11.000000
