mode,variant,sample_index,delivery_milliseconds
memory,long-polling,1,11.200000
memory,long-polling,2,9.500000
memory,long-polling,3,12.200000
memory,long-polling,4,6.900000
memory,long-polling,5,10.500000
memory,long-polling,6,10.300000
memory,long-polling,7,9.500000
memory,long-polling,8,10.300000
memory,long-polling,9,10.300000
memory,long-polling,10,10.300000
memory,long-polling,11,9.400000
memory,long-polling,12,10.500000
memory,long-polling,13,9.300000
memory,long-polling,14,11.000000
memory,long-polling,15,8.400000
memory,long-polling,16,10.800000
memory,long-polling,17,10.800000
memory,long-polling,18,9.600000
memory,long-polling,19,10.600000
memory,long-polling,20,9.400000
memory,long-polling,21,9.500000
memory,long-polling,22,11.000000
memory,long-polling,23,9.600000
memory,long-polling,24,9.700000
memory,long-polling,25,10.200000
memory,long-polling,26,10.300000
memory,long-polling,27,10.100000
memory,long-polling,28,9.800000
memory,long-polling,29,9.900000
memory,long-polling,30,8.600000
memory,long-polling,31,11.000000
memory,long-polling,32,9.600000
memory,long-polling,33,10.600000
memory,long-polling,34,9.500000
memory,long-polling,35,10.700000
memory,long-polling,36,9.700000
memory,long-polling,37,10.000000
memory,long-polling,38,9.400000
memory,long-polling,39,11.000000
memory,long-polling,40,9.900000
memory,long-polling,41,9.400000
memory,long-polling,42,9.700000
memory,long-polling,43,9.500000
memory,long-polling,44,11.100000
memory,long-polling,45,9.200000
memory,long-polling,46,10.600000
memory,long-polling,47,10.700000
memory,long-polling,48,8.700000
memory,long-polling,49,10.700000
memory,long-polling,50,9.700000
memory,long-polling,51,10.500000
memory,long-polling,52,10.100000
memory,long-polling,53,10.000000
memory,long-polling,54,9.900000
memory,long-polling,55,10.400000
memory,long-polling,56,8.700000
memory,long-polling,57,10.600000
memory,long-polling,58,10.500000
memory,long-polling,59,9.500000
memory,long-polling,60,10.500000
memory,long-polling,61,9.200000
memory,long-polling,62,9.800000
memory,long-polling,63,10.800000
memory,long-polling,64,9.900000
memory,long-polling,65,9.900000
memory,long-polling,66,9.900000
memory,long-polling,67,10.700000
memory,long-polling,68,9.400000
memory,long-polling,69,10.300000
memory,long-polling,70,9.600000
memory,long-polling,71,10.500000
memory,long-polling,72,9.200000
memory,long-polling,73,10.500000
memory,long-polling,74,9.600000
memory,long-polling,75,9.600000
memory,long-polling,76,10.700000
memory,long-polling,77,9.700000
memory,long-polling,78,10.100000
memory,long-polling,79,10.000000
memory,long-polling,80,9.900000
memory,long-polling,81,10.600000
memory,long-polling,82,9.800000
memory,long-polling,83,10.000000
memory,long-polling,84,10.300000
memory,long-polling,85,9.300000
memory,long-polling,86,10.300000
memory,long-polling,87,9.800000
memory,long-polling,88,10.900000
memory,long-polling,89,8.500000
memory,long-polling,90,11.000000
memory,long-polling,91,9.600000
memory,long-polling,92,11.600000
memory,long-polling,93,8.300000
memory,long-polling,94,9.200000
memory,long-polling,95,12.100000
memory,long-polling,96,8.400000
memory,long-polling,97,10.500000
memory,long-polling,98,9.800000
memory,long-polling,99,10.800000
memory,long-polling,100,9.500000
memory,streaming,1,10.000000
memory,streaming,2,9.400000
memory,streaming,3,10.600000
memory,streaming,4,9.800000
memory,streaming,5,8.600000
memory,streaming,6,12.500000
memory,streaming,7,8.400000
memory,streaming,8,11.100000
memory,streaming,9,9.900000
memory,streaming,10,9.100000
memory,streaming,11,10.700000
memory,streaming,12,9.900000
memory,streaming,13,9.800000
memory,streaming,14,8.900000
memory,streaming,15,11.000000
memory,streaming,16,9.900000
memory,streaming,17,9.900000
memory,streaming,18,10.000000
memory,streaming,19,11.200000
memory,streaming,20,8.800000
memory,streaming,21,10.300000
memory,streaming,22,9.800000
memory,streaming,23,10.400000
memory,streaming,24,10.300000
memory,streaming,25,10.200000
memory,streaming,26,8.800000
memory,streaming,27,9.700000
memory,streaming,28,11.400000
memory,streaming,29,10.000000
memory,streaming,30,9.000000
memory,streaming,31,10.300000
memory,streaming,32,10.100000
memory,streaming,33,10.100000
memory,streaming,34,10.400000
memory,streaming,35,9.200000
memory,streaming,36,10.400000
memory,streaming,37,9.300000
memory,streaming,38,10.700000
memory,streaming,39,10.200000
memory,streaming,40,9.500000
memory,streaming,41,10.600000
memory,streaming,42,9.100000
memory,streaming,43,10.400000
memory,streaming,44,10.200000
memory,streaming,45,9.500000
memory,streaming,46,10.400000
memory,streaming,47,10.700000
memory,streaming,48,9.000000
memory,streaming,49,10.400000
memory,streaming,50,9.100000
memory,streaming,51,11.400000
memory,streaming,52,10.300000
memory,streaming,53,9.000000
memory,streaming,54,10.400000
memory,streaming,55,9.300000
memory,streaming,56,10.900000
memory,streaming,57,9.200000
memory,streaming,58,10.300000
memory,streaming,59,10.400000
memory,streaming,60,9.400000
memory,streaming,61,10.600000
memory,streaming,62,9.300000
memory,streaming,63,10.500000
memory,streaming,64,10.400000
memory,streaming,65,9.400000
memory,streaming,66,9.700000
memory,streaming,67,10.800000
memory,streaming,68,8.300000
memory,streaming,69,10.900000
memory,streaming,70,10.200000
memory,streaming,71,10.000000
memory,streaming,72,10.300000
memory,streaming,73,9.800000
memory,streaming,74,9.900000
memory,streaming,75,10.500000
memory,streaming,76,10.300000
memory,streaming,77,9.200000
memory,streaming,78,10.600000
memory,streaming,79,9.200000
memory,streaming,80,9.900000
memory,streaming,81,10.600000
memory,streaming,82,9.100000
memory,streaming,83,10.600000
memory,streaming,84,10.400000
memory,streaming,85,10.300000
memory,streaming,86,9.100000
memory,streaming,87,10.500000
memory,streaming,88,9.300000
memory,streaming,89,10.600000
memory,streaming,90,10.400000
memory,streaming,91,9.100000
memory,streaming,92,10.200000
memory,streaming,93,10.200000
memory,streaming,94,10.400000
memory,streaming,95,10.900000
memory,streaming,96,9.000000
memory,streaming,97,10.300000
memory,streaming,98,9.300000
memory,streaming,99,10.300000
memory,streaming,100,9.600000
memory,buffering-proxy-auto-detection,1,8.000000
memory,buffering-proxy-auto-detection,2,11.200000
memory,buffering-proxy-auto-detection,3,10.600000
memory,buffering-proxy-auto-detection,4,10.300000
memory,buffering-proxy-auto-detection,5,9.000000
memory,buffering-proxy-auto-detection,6,10.300000
memory,buffering-proxy-auto-detection,7,10.500000
memory,buffering-proxy-auto-detection,8,10.200000
memory,buffering-proxy-auto-detection,9,9.100000
memory,buffering-proxy-auto-detection,10,10.500000
memory,buffering-proxy-auto-detection,11,9.300000
memory,buffering-proxy-auto-detection,12,10.400000
memory,buffering-proxy-auto-detection,13,10.700000
memory,buffering-proxy-auto-detection,14,9.400000
memory,buffering-proxy-auto-detection,15,10.600000
memory,buffering-proxy-auto-detection,16,9.700000
memory,buffering-proxy-auto-detection,17,9.300000
memory,buffering-proxy-auto-detection,18,9.700000
memory,buffering-proxy-auto-detection,19,10.900000
memory,buffering-proxy-auto-detection,20,9.800000
memory,buffering-proxy-auto-detection,21,10.900000
memory,buffering-proxy-auto-detection,22,8.800000
memory,buffering-proxy-auto-detection,23,10.900000
memory,buffering-proxy-auto-detection,24,9.300000
memory,buffering-proxy-auto-detection,25,10.800000
memory,buffering-proxy-auto-detection,26,9.500000
memory,buffering-proxy-auto-detection,27,9.700000
memory,buffering-proxy-auto-detection,28,10.700000
memory,buffering-proxy-auto-detection,29,8.100000
memory,buffering-proxy-auto-detection,30,12.200000
memory,buffering-proxy-auto-detection,31,9.700000
memory,buffering-proxy-auto-detection,32,10.000000
memory,buffering-proxy-auto-detection,33,9.400000
memory,buffering-proxy-auto-detection,34,9.800000
memory,buffering-proxy-auto-detection,35,10.700000
memory,buffering-proxy-auto-detection,36,9.400000
memory,buffering-proxy-auto-detection,37,9.500000
memory,buffering-proxy-auto-detection,38,11.100000
memory,buffering-proxy-auto-detection,39,9.600000
memory,buffering-proxy-auto-detection,40,9.600000
memory,buffering-proxy-auto-detection,41,10.500000
memory,buffering-proxy-auto-detection,42,10.600000
memory,buffering-proxy-auto-detection,43,9.600000
memory,buffering-proxy-auto-detection,44,9.900000
memory,buffering-proxy-auto-detection,45,9.000000
memory,buffering-proxy-auto-detection,46,10.800000
memory,buffering-proxy-auto-detection,47,10.000000
memory,buffering-proxy-auto-detection,48,10.600000
memory,buffering-proxy-auto-detection,49,9.800000
memory,buffering-proxy-auto-detection,50,9.900000
memory,buffering-proxy-auto-detection,51,9.500000
memory,buffering-proxy-auto-detection,52,8.800000
memory,buffering-proxy-auto-detection,53,10.200000
memory,buffering-proxy-auto-detection,54,12.300000
memory,buffering-proxy-auto-detection,55,8.200000
memory,buffering-proxy-auto-detection,56,11.500000
memory,buffering-proxy-auto-detection,57,9.600000
memory,buffering-proxy-auto-detection,58,9.500000
